==============================
   Omega Wholesale Sdn Bhd (OWSB)
==============================
         STOCK REPORT
==============================
Generated: 2025-05-22 18:39:37
Generated by: OW053 t

Total Items: 1000
Total Stock: 55757

------------------------------
Low Stock (0-9)
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM718       Orange             SUP154       15       2025-05-04  
ITM736       Apple              SUP115       16       2025-05-12  
ITM738       Banana             SUP025       17       2025-05-21  
ITM740       Tomato             SUP095       10       2025-04-26  
ITM752       Yogurt             SUP040       15       2025-05-05  
ITM774       Rice               SUP174       11       2025-04-24  
ITM780       Juice              SUP172       18       2025-05-08  
ITM789       Juice              SUP129       19       2025-04-25  
ITM790       Lettuce            SUP014       15       2025-05-25  
ITM791       Herbs              SUP102       14       2025-05-18  
ITM792       Onion              SUP054       18       2025-05-12  
ITM793       Milk               SUP131       19       2025-04-25  
ITM805       Butter             SUP157       12       2025-05-14  
ITM810       Orange             SUP059       11       2025-05-20  
ITM811       Orange             SUP125       15       2025-04-15  
ITM813       Cheese             SUP167       14       2025-05-23  
ITM815       Tomato             SUP121       19       2025-04-21  
ITM829       Banana             SUP033       13       2025-04-17  
ITM831       Pastry             SUP186       13       2025-04-23  
ITM834       Orange             SUP174       13       2025-04-17  
ITM894       Cheese             SUP021       12       2025-05-22  
ITM903       Carrot             SUP174       18       2025-04-23  
ITM908       Orange             SUP104       18       2025-04-30  
ITM920       Lettuce            SUP131       11       2025-05-09  
ITM922       Milk               SUP069       13       2025-05-21  
ITM929       Lettuce            SUP166       14       2025-04-24  
ITM951       Tomato             SUP173       12       2025-04-16  
ITM956       Banana             SUP002       10       2025-05-21  
ITM959       Rice               SUP089       14       2025-05-01  
ITM963       Carrot             SUP109       14       2025-04-25  
ITM970       Cucumber           SUP165       19       2025-05-11  
ITM984       Orange             SUP191       13       2025-05-20  
ITM988       Oil                SUP149       18       2025-04-20  
ITM996       Cucumber           SUP198       10       2025-04-27  
ITM1000      Apple              SUP060       14       2025-04-15  

------------------------------
Stock 20-49
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM001       Herbs              SUP185       30       2025-05-19  
ITM002       Lettuce            SUP151       22       2025-05-08  
ITM004       Lettuce            SUP115       35       2025-05-21  
ITM006       Oil                SUP135       35       2025-05-19  
ITM008       Pastry             SUP005       37       2025-05-01  
ITM013       Butter             SUP139       38       2025-04-16  
ITM016       Pastry             SUP014       33       2025-04-21  
ITM021       Banana             SUP002       43       2025-05-21  
ITM023       Apple              SUP020       48       2025-05-15  
ITM024       Rice               SUP144       30       2025-04-26  
ITM025       Cucumber           SUP066       32       2025-05-08  
ITM029       Apple              SUP066       37       2025-05-20  
ITM031       Pastry             SUP172       37       2025-04-26  
ITM039       Carrot             SUP187       30       2025-05-25  
ITM044       Carrot             SUP028       40       2025-05-20  
ITM049       Bread              SUP138       49       2025-04-22  
ITM053       Banana             SUP145       20       2025-05-06  
ITM055       Carrot             SUP001       30       2025-05-12  
ITM057       Tomato             SUP181       26       2025-04-25  
ITM059       Lettuce            SUP031       25       2025-04-22  
ITM060       Milk               SUP070       33       2025-05-05  
ITM061       Fish               SUP189       41       2025-05-08  
ITM065       Cheese             SUP198       23       2025-04-26  
ITM066       Cheese             SUP160       37       2025-05-09  
ITM073       Fish               SUP185       47       2025-05-07  
ITM075       Banana             SUP022       22       2025-05-23  
ITM078       Pastry             SUP018       33       2025-04-25  
ITM080       Spinach            SUP017       36       2025-05-12  
ITM082       Yogurt             SUP181       27       2025-05-21  
ITM084       Banana             SUP158       48       2025-05-19  
ITM090       Milk               SUP169       25       2025-04-15  
ITM091       Bread              SUP036       41       2025-05-05  
ITM092       Tomato             SUP131       24       2025-05-19  
ITM094       Rice               SUP130       37       2025-04-27  
ITM098       Tomato             SUP193       47       2025-05-14  
ITM109       Lettuce            SUP194       25       2025-05-16  
ITM110       Cheese             SUP037       23       2025-05-15  
ITM112       Yogurt             SUP196       34       2025-04-29  
ITM113       Spinach            SUP166       20       2025-05-20  
ITM114       Fish               SUP135       42       2025-05-12  
ITM118       Herbs              SUP198       43       2025-04-18  
ITM121       Butter             SUP165       33       2025-04-20  
ITM123       Milk               SUP111       39       2025-04-17  
ITM124       Fish               SUP054       44       2025-04-15  
ITM127       Tomato             SUP059       45       2025-05-05  
ITM128       Lettuce            SUP050       43       2025-05-18  
ITM131       Spinach            SUP197       36       2025-04-30  
ITM134       Oil                SUP163       48       2025-05-17  
ITM137       Lettuce            SUP101       32       2025-05-08  
ITM141       Pastry             SUP063       28       2025-05-22  
ITM144       Herbs              SUP075       44       2025-05-24  
ITM149       Cheese             SUP160       36       2025-04-20  
ITM150       Tomato             SUP028       35       2025-04-27  
ITM152       Banana             SUP028       35       2025-05-20  
ITM156       Apple              SUP036       46       2025-04-26  
ITM157       Bread              SUP040       21       2025-05-16  
ITM159       Juice              SUP032       41       2025-04-25  
ITM160       Butter             SUP200       29       2025-05-24  
ITM162       Tomato             SUP040       36       2025-05-05  
ITM165       Rice               SUP144       40       2025-04-21  
ITM168       Orange             SUP061       39       2025-05-19  
ITM170       Yogurt             SUP037       31       2025-04-26  
ITM179       Cucumber           SUP158       26       2025-04-30  
ITM180       Juice              SUP084       41       2025-05-03  
ITM185       Bread              SUP021       31       2025-05-11  
ITM189       Pastry             SUP117       21       2025-05-18  
ITM193       Lettuce            SUP179       20       2025-04-15  
ITM195       Fish               SUP132       29       2025-05-06  
ITM198       Fish               SUP198       37       2025-05-25  
ITM201       Butter             SUP003       38       2025-04-21  
ITM204       Pastry             SUP169       33       2025-05-01  
ITM207       Banana             SUP117       45       2025-05-08  
ITM209       Orange             SUP057       34       2025-05-11  
ITM214       Apple              SUP137       43       2025-04-17  
ITM217       Lettuce            SUP052       22       2025-04-18  
ITM218       Milk               SUP111       20       2025-05-21  
ITM220       Banana             SUP196       29       2025-04-22  
ITM223       Spinach            SUP075       40       2025-05-06  
ITM226       Apple              SUP168       24       2025-05-03  
ITM229       Banana             SUP085       21       2025-05-19  
ITM231       Tomato             SUP100       38       2025-05-18  
ITM232       Apple              SUP056       42       2025-05-08  
ITM233       Spinach            SUP007       33       2025-04-28  
ITM238       Herbs              SUP046       32       2025-05-24  
ITM239       Apple              SUP134       34       2025-04-25  
ITM243       Lettuce            SUP047       30       2025-05-14  
ITM245       Lettuce            SUP159       29       2025-05-25  
ITM247       Pastry             SUP151       36       2025-04-21  
ITM249       Bread              SUP193       46       2025-04-16  
ITM256       Bread              SUP095       23       2025-04-21  
ITM258       Onion              SUP176       48       2025-04-21  
ITM260       Tomato             SUP007       48       2025-04-27  
ITM262       Spinach            SUP111       25       2025-04-17  
ITM265       Lettuce            SUP074       29       2025-05-18  
ITM274       Rice               SUP163       43       2025-04-17  
ITM275       Banana             SUP118       37       2025-04-21  
ITM276       Yogurt             SUP038       23       2025-05-09  
ITM279       Yogurt             SUP188       24       2025-05-12  
ITM283       Juice              SUP115       49       2025-05-14  
ITM285       Juice              SUP092       38       2025-04-15  
ITM290       Banana             SUP006       35       2025-04-30  
ITM291       Fish               SUP123       33       2025-05-18  
ITM293       Tomato             SUP029       26       2025-04-30  
ITM298       Milk               SUP142       41       2025-04-17  
ITM300       Carrot             SUP140       41       2025-04-19  
ITM301       Spinach            SUP165       49       2025-04-29  
ITM304       Onion              SUP126       49       2025-05-09  
ITM308       Oil                SUP086       20       2025-05-02  
ITM312       Oil                SUP021       22       2025-05-08  
ITM313       Cheese             SUP027       21       2025-04-30  
ITM315       Butter             SUP070       38       2025-04-26  
ITM319       Spinach            SUP059       21       2025-04-19  
ITM325       Banana             SUP031       32       2025-04-24  
ITM326       Butter             SUP073       47       2025-04-26  
ITM336       Pastry             SUP121       30       2025-05-03  
ITM337       Milk               SUP105       25       2025-05-14  
ITM339       Pastry             SUP100       37       2025-04-23  
ITM340       Tomato             SUP170       38       2025-05-21  
ITM350       Apple              SUP027       29       2025-05-03  
ITM353       Bread              SUP097       41       2025-05-01  
ITM355       Rice               SUP102       25       2025-05-16  
ITM356       Carrot             SUP141       36       2025-05-13  
ITM357       Bread              SUP059       40       2025-04-19  
ITM358       Oil                SUP003       46       2025-05-20  
ITM360       Bread              SUP107       35       2025-05-03  
ITM361       Orange             SUP187       43       2025-05-02  
ITM369       Carrot             SUP048       30       2025-05-22  
ITM372       Yogurt             SUP152       41       2025-05-24  
ITM376       Tomato             SUP041       31       2025-05-12  
ITM380       Onion              SUP010       20       2025-04-18  
ITM381       Lettuce            SUP058       45       2025-04-23  
ITM387       Fish               SUP089       32       2025-05-15  
ITM390       Spinach            SUP197       40       2025-05-12  
ITM392       Herbs              SUP077       40       2025-05-16  
ITM397       Rice               SUP113       27       2025-05-01  
ITM400       Butter             SUP172       24       2025-05-10  
ITM407       Carrot             SUP040       23       2025-05-22  
ITM409       Pastry             SUP137       49       2025-05-20  
ITM411       Yogurt             SUP089       23       2025-05-13  
ITM413       Cheese             SUP018       25       2025-05-18  
ITM414       Onion              SUP096       36       2025-04-18  
ITM415       Rice               SUP092       26       2025-05-07  
ITM416       Apple              SUP014       34       2025-04-18  
ITM417       Apple              SUP030       24       2025-05-19  
ITM418       Tomato             SUP002       36       2025-05-20  
ITM422       Oil                SUP073       22       2025-05-05  
ITM424       Pastry             SUP094       38       2025-05-03  
ITM425       Oil                SUP030       30       2025-05-22  
ITM428       Carrot             SUP033       33       2025-05-04  
ITM432       Butter             SUP166       45       2025-05-16  
ITM433       Yogurt             SUP156       42       2025-04-29  
ITM434       Pastry             SUP125       21       2025-05-14  
ITM438       Fish               SUP196       29       2025-05-12  
ITM441       Lettuce            SUP150       29       2025-05-05  
ITM451       Onion              SUP115       47       2025-05-18  
ITM452       Cheese             SUP064       39       2025-05-18  
ITM453       Cucumber           SUP037       25       2025-05-22  
ITM455       Juice              SUP161       28       2025-04-26  
ITM460       Pastry             SUP158       38       2025-04-24  
ITM463       Lettuce            SUP054       32       2025-05-18  
ITM464       Butter             SUP055       20       2025-05-17  
ITM468       Fish               SUP047       26       2025-05-18  
ITM471       Juice              SUP088       32       2025-04-25  
ITM473       Carrot             SUP126       21       2025-05-09  
ITM475       Milk               SUP182       32       2025-05-10  
ITM476       Cheese             SUP183       23       2025-04-25  
ITM478       Milk               SUP199       35       2025-04-29  
ITM480       Milk               SUP007       46       2025-05-19  
ITM482       Onion              SUP175       46       2025-05-16  
ITM486       Banana             SUP067       37       2025-05-09  
ITM487       Yogurt             SUP177       42       2025-05-09  
ITM488       Cucumber           SUP192       36       2025-05-02  
ITM494       Juice              SUP010       34       2025-05-06  
ITM497       Carrot             SUP034       42       2025-05-11  
ITM501       Banana             SUP080       21       2025-05-18  
ITM513       Juice              SUP185       41       2025-05-09  
ITM514       Fish               SUP014       24       2025-05-04  
ITM515       Milk               SUP104       36       2025-05-22  
ITM516       Cheese             SUP109       40       2025-04-21  
ITM522       Spinach            SUP060       45       2025-05-25  
ITM523       Butter             SUP190       39       2025-05-09  
ITM525       Onion              SUP053       42       2025-05-08  
ITM528       Rice               SUP157       29       2025-05-18  
ITM533       Oil                SUP054       41       2025-05-05  
ITM548       Pastry             SUP087       45       2025-05-08  
ITM549       Milk               SUP154       42       2025-05-10  
ITM551       Milk               SUP115       29       2025-05-06  
ITM562       Tomato             SUP168       32       2025-05-10  
ITM565       Carrot             SUP130       26       2025-04-18  
ITM566       Carrot             SUP060       39       2025-05-02  
ITM567       Cheese             SUP181       49       2025-05-02  
ITM569       Carrot             SUP152       39       2025-05-05  
ITM573       Orange             SUP091       36       2025-05-10  
ITM575       Oil                SUP029       24       2025-04-24  
ITM578       Milk               SUP075       39       2025-04-26  
ITM579       Rice               SUP164       34       2025-04-23  
ITM581       Carrot             SUP150       44       2025-04-20  
ITM583       Butter             SUP135       41       2025-05-01  
ITM591       Tomato             SUP142       31       2025-04-24  
ITM593       Pastry             SUP020       29       2025-04-16  
ITM595       Cheese             SUP083       42       2025-04-24  
ITM600       Carrot             SUP051       35       2025-05-13  
ITM601       Oil                SUP027       35       2025-05-24  
ITM608       Rice               SUP066       40       2025-05-12  
ITM610       Juice              SUP133       38       2025-05-13  
ITM615       Cucumber           SUP188       22       2025-04-28  
ITM619       Onion              SUP123       31       2025-04-23  
ITM621       Pastry             SUP115       39       2025-05-25  
ITM622       Butter             SUP092       30       2025-05-06  
ITM630       Butter             SUP065       25       2025-05-03  
ITM631       Yogurt             SUP192       23       2025-04-15  
ITM632       Orange             SUP143       42       2025-05-06  
ITM636       Onion              SUP052       44       2025-04-25  
ITM639       Carrot             SUP172       30       2025-04-18  
ITM642       Apple              SUP110       49       2025-05-15  
ITM646       Oil                SUP049       22       2025-05-07  
ITM654       Banana             SUP185       32       2025-04-22  
ITM655       Milk               SUP033       49       2025-05-19  
ITM657       Spinach            SUP035       46       2025-05-06  
ITM661       Butter             SUP140       27       2025-05-09  
ITM663       Lettuce            SUP042       47       2025-05-02  
ITM664       Pastry             SUP119       32       2025-05-20  
ITM668       Onion              SUP176       40       2025-04-30  
ITM671       Juice              SUP161       20       2025-04-24  
ITM673       Pastry             SUP119       31       2025-05-16  
ITM674       Herbs              SUP004       22       2025-05-21  
ITM676       Juice              SUP057       26       2025-04-17  
ITM680       Apple              SUP022       25       2025-05-08  
ITM685       Cucumber           SUP198       45       2025-05-17  
ITM688       Yogurt             SUP106       46       2025-04-30  
ITM694       Apple              SUP022       25       2025-04-25  
ITM696       Lettuce            SUP034       23       2025-05-02  
ITM699       Tomato             SUP046       32       2025-04-18  
ITM700       Spinach            SUP053       36       2025-04-24  
ITM702       Carrot             SUP158       24       2025-05-10  
ITM703       Onion              SUP150       27       2025-04-26  
ITM714       Pastry             SUP034       28       2025-05-01  
ITM716       Bread              SUP175       27       2025-04-18  
ITM717       Oil                SUP073       20       2025-05-07  
ITM723       Orange             SUP074       42       2025-05-02  
ITM725       Oil                SUP016       37       2025-04-15  
ITM728       Lettuce            SUP016       29       2025-05-20  
ITM731       Carrot             SUP164       46       2025-05-18  
ITM732       Herbs              SUP028       25       2025-04-21  
ITM733       Yogurt             SUP111       21       2025-05-22  
ITM734       Banana             SUP196       27       2025-05-16  
ITM739       Apple              SUP138       32       2025-05-17  
ITM741       Rice               SUP055       31       2025-05-09  
ITM750       Carrot             SUP007       45       2025-04-23  
ITM755       Onion              SUP019       37       2025-04-28  
ITM757       Herbs              SUP048       48       2025-05-22  
ITM766       Juice              SUP014       21       2025-05-16  
ITM767       Bread              SUP042       43       2025-05-12  
ITM771       Bread              SUP048       47       2025-04-28  
ITM775       Banana             SUP197       37       2025-05-23  
ITM778       Cheese             SUP102       34       2025-05-01  
ITM781       Banana             SUP019       39       2025-04-16  
ITM787       Orange             SUP085       47       2025-05-03  
ITM797       Pastry             SUP056       43       2025-04-23  
ITM798       Apple              SUP019       21       2025-05-09  
ITM800       Herbs              SUP148       35       2025-05-14  
ITM803       Tomato             SUP176       36       2025-05-14  
ITM804       Banana             SUP073       26       2025-04-21  
ITM808       Bread              SUP078       37       2025-04-26  
ITM812       Bread              SUP075       27       2025-04-22  
ITM816       Onion              SUP101       47       2025-04-23  
ITM817       Cheese             SUP075       26       2025-05-23  
ITM818       Herbs              SUP114       42       2025-05-21  
ITM820       Apple              SUP096       45       2025-05-01  
ITM824       Orange             SUP067       34       2025-05-17  
ITM826       Rice               SUP156       42       2025-05-09  
ITM827       Banana             SUP155       30       2025-05-19  
ITM828       Milk               SUP091       49       2025-04-23  
ITM832       Juice              SUP005       43       2025-05-04  
ITM840       Rice               SUP134       24       2025-05-15  
ITM841       Apple              SUP128       44       2025-04-16  
ITM842       Lettuce            SUP108       30       2025-04-23  
ITM847       Cheese             SUP029       30       2025-04-19  
ITM858       Cucumber           SUP057       33       2025-04-29  
ITM862       Onion              SUP155       27       2025-04-25  
ITM863       Apple              SUP001       49       2025-05-11  
ITM866       Milk               SUP200       26       2025-05-01  
ITM868       Banana             SUP014       37       2025-04-15  
ITM871       Banana             SUP073       33       2025-05-19  
ITM873       Cucumber           SUP069       35       2025-04-25  
ITM874       Carrot             SUP064       37       2025-04-21  
ITM875       Oil                SUP076       26       2025-04-22  
ITM876       Milk               SUP063       28       2025-04-30  
ITM881       Apple              SUP163       42       2025-05-07  
ITM884       Pastry             SUP125       45       2025-05-10  
ITM885       Bread              SUP154       37       2025-04-28  
ITM886       Cucumber           SUP144       49       2025-05-03  
ITM888       Juice              SUP193       31       2025-04-30  
ITM904       Spinach            SUP044       24       2025-05-10  
ITM905       Orange             SUP093       41       2025-05-14  
ITM906       Onion              SUP068       41       2025-04-23  
ITM911       Butter             SUP176       28       2025-05-01  
ITM913       Cheese             SUP006       32       2025-05-22  
ITM915       Herbs              SUP044       43       2025-05-09  
ITM919       Oil                SUP030       21       2025-04-29  
ITM923       Fish               SUP070       23       2025-05-25  
ITM933       Yogurt             SUP101       35       2025-04-30  
ITM934       Spinach            SUP103       40       2025-05-05  
ITM937       Cheese             SUP174       21       2025-04-27  
ITM945       Pastry             SUP060       26       2025-05-13  
ITM948       Banana             SUP099       47       2025-05-21  
ITM955       Fish               SUP110       30       2025-05-06  
ITM957       Butter             SUP010       28       2025-05-14  
ITM960       Butter             SUP145       28       2025-05-14  
ITM962       Spinach            SUP115       48       2025-05-20  
ITM964       Carrot             SUP165       30       2025-05-18  
ITM966       Oil                SUP183       31       2025-04-25  
ITM969       Yogurt             SUP097       48       2025-04-29  
ITM971       Pastry             SUP011       26       2025-05-01  
ITM975       Milk               SUP162       20       2025-05-11  
ITM976       Carrot             SUP105       23       2025-05-24  
ITM977       Apple              SUP178       30       2025-05-10  
ITM980       Carrot             SUP193       41       2025-05-24  
ITM981       Lettuce            SUP051       47       2025-05-16  
ITM985       Fish               SUP002       49       2025-04-21  
ITM987       Lettuce            SUP041       47       2025-05-10  
ITM991       Tomato             SUP198       37       2025-05-09  
ITM992       Bread              SUP170       37       2025-04-30  
ITM993       Lettuce            SUP118       29       2025-04-22  
ITM997       Apple              SUP120       26       2025-05-13  

------------------------------
Stock 50-99
------------------------------
ItemCode     ItemName           SupplierID   Stock    ExpiryDate  
ITM003       Onion              SUP040       76       2025-04-29  
ITM007       Banana             SUP072       71       2025-05-21  
ITM009       Rice               SUP198       68       2025-04-18  
ITM010       Tomato             SUP058       82       2025-04-25  
ITM011       Oil                SUP174       89       2025-05-25  
ITM012       Rice               SUP090       65       2025-05-01  
ITM014       Milk               SUP093       65       2025-04-26  
ITM015       Pastry             SUP125       95       2025-05-19  
ITM017       Herbs              SUP190       91       2025-05-05  
ITM018       Pastry             SUP082       74       2025-05-22  
ITM019       Tomato             SUP056       70       2025-05-12  
ITM020       Cucumber           SUP100       71       2025-05-09  
ITM022       Onion              SUP003       89       2025-04-27  
ITM026       Bread              SUP059       68       2025-04-27  
ITM028       Cheese             SUP115       92       2025-04-28  
ITM030       Apple              SUP173       77       2025-05-19  
ITM032       Banana             SUP046       76       2025-04-29  
ITM034       Oil                SUP161       86       2025-04-29  
ITM036       Bread              SUP190       52       2025-04-22  
ITM037       Spinach            SUP060       78       2025-05-09  
ITM038       Banana             SUP057       71       2025-05-13  
ITM040       Carrot             SUP125       69       2025-05-25  
ITM041       Cucumber           SUP130       87       2025-05-14  
ITM043       Lettuce            SUP179       73       2025-05-11  
ITM045       Herbs              SUP070       81       2025-04-20  
ITM047       Apple              SUP002       89       2025-04-18  
ITM048       Cheese             SUP125       64       2025-04-21  
ITM050       Banana             SUP038       97       2025-04-30  
ITM051       Fish               SUP150       73       2025-05-01  
ITM052       Rice               SUP101       52       2025-05-09  
ITM056       Bread              SUP114       67       2025-05-18  
ITM058       Butter             SUP023       52       2025-04-21  
ITM062       Apple              SUP052       77       2025-05-14  
ITM064       Pastry             SUP178       52       2025-04-21  
ITM068       Fish               SUP200       74       2025-04-24  
ITM069       Lettuce            SUP005       90       2025-05-08  
ITM070       Juice              SUP003       85       2025-04-20  
ITM071       Herbs              SUP105       78       2025-04-19  
ITM072       Oil                SUP120       65       2025-04-26  
ITM074       Carrot             SUP171       91       2025-04-27  
ITM076       Banana             SUP166       73       2025-04-25  
ITM077       Apple              SUP054       69       2025-05-09  
ITM079       Milk               SUP038       72       2025-04-27  
ITM083       Rice               SUP123       56       2025-04-26  
ITM085       Cheese             SUP034       60       2025-04-28  
ITM086       Spinach            SUP193       86       2025-05-11  
ITM087       Spinach            SUP093       52       2025-05-08  
ITM088       Fish               SUP049       97       2025-05-20  
ITM089       Cheese             SUP020       91       2025-05-03  
ITM093       Banana             SUP013       60       2025-04-30  
ITM095       Butter             SUP171       99       2025-05-09  
ITM096       Banana             SUP005       91       2025-04-23  
ITM097       Rice               SUP159       96       2025-04-30  
ITM099       Juice              SUP040       57       2025-04-27  
ITM100       Apple              SUP047       93       2025-04-16  
ITM101       Orange             SUP106       93       2025-05-20  
ITM102       Banana             SUP184       61       2025-05-20  
ITM103       Carrot             SUP063       70       2025-04-21  
ITM104       Apple              SUP171       58       2025-05-15  
ITM105       Rice               SUP196       72       2025-05-17  
ITM106       Spinach            SUP122       69       2025-05-11  
ITM107       Cheese             SUP141       90       2025-05-04  
ITM108       Bread              SUP161       65       2025-05-21  
ITM111       Bread              SUP147       58       2025-05-13  
ITM116       Oil                SUP054       78       2025-04-17  
ITM117       Milk               SUP010       84       2025-05-07  
ITM119       Cheese             SUP076       90       2025-05-18  
ITM120       Bread              SUP192       95       2025-04-29  
ITM122       Onion              SUP068       56       2025-05-16  
ITM125       Banana             SUP006       99       2025-05-04  
ITM126       Carrot             SUP038       62       2025-04-25  
ITM129       Tomato             SUP146       87       2025-04-15  
ITM132       Butter             SUP104       57       2025-05-20  
ITM133       Lettuce            SUP130       90       2025-05-15  
ITM135       Rice               SUP178       90       2025-05-20  
ITM136       Spinach            SUP158       97       2025-05-11  
ITM138       Herbs              SUP005       53       2025-05-13  
ITM139       Cucumber           SUP065       71       2025-04-24  
ITM140       Milk               SUP162       89       2025-04-30  
ITM142       Butter             SUP066       79       2025-04-25  
ITM143       Herbs              SUP015       89       2025-05-21  
ITM145       Herbs              SUP182       56       2025-05-21  
ITM146       Butter             SUP033       63       2025-04-24  
ITM147       Juice              SUP023       68       2025-04-16  
ITM148       Milk               SUP043       85       2025-05-01  
ITM151       Spinach            SUP005       94       2025-05-03  
ITM153       Apple              SUP081       50       2025-05-18  
ITM154       Rice               SUP187       73       2025-05-25  
ITM155       Pastry             SUP117       59       2025-05-13  
ITM158       Milk               SUP121       61       2025-05-16  
ITM164       Cucumber           SUP025       74       2025-05-01  
ITM166       Rice               SUP162       73       2025-05-11  
ITM167       Orange             SUP128       60       2025-05-21  
ITM169       Rice               SUP025       66       2025-04-25  
ITM171       Carrot             SUP012       69       2025-04-26  
ITM172       Orange             SUP036       62       2025-04-30  
ITM174       Banana             SUP200       60       2025-05-17  
ITM175       Tomato             SUP038       76       2025-04-29  
ITM176       Milk               SUP108       75       2025-05-23  
ITM178       Cucumber           SUP180       74       2025-05-03  
ITM181       Milk               SUP016       72       2025-04-29  
ITM182       Herbs              SUP197       57       2025-05-03  
ITM183       Rice               SUP052       60       2025-05-06  
ITM184       Spinach            SUP079       71       2025-05-12  
ITM186       Butter             SUP109       60       2025-05-09  
ITM187       Milk               SUP067       51       2025-04-17  
ITM188       Fish               SUP012       78       2025-04-24  
ITM190       Cheese             SUP036       88       2025-04-26  
ITM191       Apple              SUP131       61       2025-05-09  
ITM192       Onion              SUP093       63       2025-05-14  
ITM196       Apple              SUP184       94       2025-04-30  
ITM199       Apple              SUP005       59       2025-05-22  
ITM200       Lettuce            SUP009       86       2025-05-17  
ITM202       Apple              SUP068       51       2025-04-24  
ITM203       Rice               SUP156       70       2025-05-25  
ITM205       Rice               SUP019       94       2025-05-07  
ITM206       Carrot             SUP054       67       2025-05-10  
ITM208       Fish               SUP148       81       2025-05-06  
ITM216       Oil                SUP176       63       2025-05-10  
ITM219       Lettuce            SUP040       88       2025-05-05  
ITM221       Tomato             SUP002       78       2025-05-13  
ITM222       Lettuce            SUP020       67       2025-04-28  
ITM224       Oil                SUP087       56       2025-05-08  
ITM225       Spinach            SUP199       96       2025-05-23  
ITM227       Onion              SUP102       99       2025-05-22  
ITM228       Fish               SUP138       63       2025-04-15  
ITM230       Banana             SUP050       51       2025-05-19  
ITM234       Bread              SUP137       79       2025-05-22  
ITM235       Rice               SUP137       68       2025-05-22  
ITM236       Milk               SUP195       69       2025-04-30  
ITM237       Carrot             SUP120       76       2025-04-30  
ITM240       Onion              SUP172       78       2025-05-16  
ITM241       Yogurt             SUP176       50       2025-05-15  
